,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.81591046,0.43535978,288.0,1,0train,22,2,BNCI2014-001,ACOV+MDM
1,0.784997,0.35362935,288.0,1,1test,22,2,BNCI2014-001,ACOV+MDM
2,0.646219,0.4115278,288.0,2,0train,22,2,BNCI2014-001,ACOV+MDM
3,0.53145796,0.39390197,288.0,2,1test,22,2,BNCI2014-001,ACOV+MDM
4,0.76382333,0.398177,288.0,3,0train,22,2,BNCI2014-001,ACOV+MDM
5,0.78826374,0.3963108,288.0,3,1test,22,2,BNCI2014-001,ACOV+MDM
6,0.62450093,0.4214894,288.0,4,0train,22,2,BNCI2014-001,ACOV+MDM
7,0.73297036,0.36465555,288.0,4,1test,22,2,BNCI2014-001,ACOV+MDM
8,0.4411978,0.33996525,288.0,5,0train,22,2,BNCI2014-001,ACOV+MDM
9,0.47277677,0.3064294,288.0,5,1test,22,2,BNCI2014-001,ACOV+MDM
10,0.4830006,0.38681254,288.0,6,0train,22,2,BNCI2014-001,ACOV+MDM
11,0.44101635,0.3925918,288.0,6,1test,22,2,BNCI2014-001,ACOV+MDM
12,0.7849365,0.38161916,288.0,7,0train,22,2,BNCI2014-001,ACOV+MDM
13,0.8576527,0.34555644,288.0,7,1test,22,2,BNCI2014-001,ACOV+MDM
14,0.85057473,0.34419823,288.0,8,0train,22,2,BNCI2014-001,ACOV+MDM
15,0.8088929,0.3258308,288.0,8,1test,22,2,BNCI2014-001,ACOV+MDM
16,0.6459165,0.37362522,288.0,9,0train,22,2,BNCI2014-001,ACOV+MDM
17,0.8399879,0.36925417,288.0,9,1test,22,2,BNCI2014-001,ACOV+MDM
